"Key Id","Label","Series Break"
"PDPOSMBS-TOT","Total -  Mortgage-backed Securities: Federal Agency and GSE MBS: Long - Mortgage-backed Securities: Federal Agency and GSE MBS: Short","SBN2022"
"PDPOSABS-TOT","Total - ASSET-BACKED SECURITIES - LONG. - ASSET-BACKED SECURITIES - SHORT.","SBN2022"
"PDPOSCS-TOT","Total - CORPORATE SECURITIES  DEALER POSITION - LONG. - CORPORATE SECURITIES:  DEALER POSITION - SHORT.","SBN2022"
"PDPOSFGS-TOT","Total - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) -  DEALER POSITION - LONG - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) - :  DEALER POSITION - SHORT","SBN2022"
"PDPOSSMGO-TOT","Total - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS :  DEALER POSITION - LONG. - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS :  DEALER POSITION - SHORT.","SBN2022"
"PDPOSGST-TOT","Total - U.S. TREASURY SECURITIES (EXCLUDING TREASURY INFLATION-PROTECTED SECURITIES (TIPS)) :  DEALER POSITION - LONG. - U.S. TREASURY SECURITIES (EXCLUDING TREASURY INFLATION-PROTECTED SECURITIES (TIPS)) :  DEALER POSITION - SHORT.","SBN2022"
"PDTRAB-TOT","Total - ASSET-BACKED SECURITIES: DEALER TRANSACTIONS WITH INTER-DEALER BROKERS. + ASSET-BACKED SECURITIES: DEALER TRANSACTIONS WITH OTHER.","SBN2022"
"PDABTOT","Total - ASSET-BACKED SECURITIES: DEALER TRANSACTIONS WITH INTER-DEALER BROKERS. + ASSET-BACKED SECURITIES: DEALER TRANSACTIONS WITH OTHER.","SBN2022"
"PDCSTOT","Total - CORPORATE SECURITIES:  TRANSACTIONS WITH INTER-DEALER BROKERS + Total - CORPORATE SECURITIES: TRANSACTIONS WITH OTHERS","SBN2022"
"PDTRCS-TOT","Total - CORPORATE SECURITIES:  TRANSACTIONS WITH INTER-DEALER BROKERS + Total - CORPORATE SECURITIES: TRANSACTIONS WITH OTHERS","SBN2022"
"PDFGSXMTOT","Total - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS)  - DEALER TRANSACTIONS WITH INTER-DEALER BROKERS + FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS)  - DEALER TRANSACTIONS WITH OTHERS","SBN2022"
"PDTRFGSXM-TOT","Total - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS)  - DEALER TRANSACTIONS WITH INTER-DEALER BROKERS + FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS)  - DEALER TRANSACTIONS WITH OTHERS","SBN2022"
"PDTRGS-FRN","FLOATING RATE NOTES: DEALER TRANSACTIONS WITH INTER-DEALER BROKERS + FLOATING RATE NOTES: DEALER TRANSACTIONS WITH OTHERS","SBN2022"
"PDTRMBS-TOT","Total - Mortgage-backed Securities: With Inter-dealer Brokers + Total - Mortgage-backed Securities: With Others","SBN2022"
"PDMBSTOT","Total - Mortgage-backed Securities: With Inter-dealer Brokers + Total - Mortgage-backed Securities: With Others","SBN2022"
"PDTRSMGO-TOT","Total - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS WITH INTER-DEALER BROKERS + Total - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS WITH OTHERS","SBN2022"
"PDMGOTOT","Total - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS WITH INTER-DEALER BROKERS + Total - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS WITH OTHERS","SBN2022"
"PDTIPSTOT","Total - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS)  DEALER TRANSACTIONS WITH INTER-DEALER BROKERS + Total - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS)  DEALER TRANSACTIONS WITH OTHERS","SBN2022"
"PDTRGST-TOT","Total - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS)  DEALER TRANSACTIONS WITH INTER-DEALER BROKERS + Total - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS)  DEALER TRANSACTIONS WITH OTHERS","SBN2022"
"PDGSWOEXTTOT","Total - U.S. TREASURY SECURITIES (EXCLUDING TREASURY INFLATION-PROTECTED SECURITIES (TIPS)) - DEALER TRANSACTIONS WITH INTER-DEALER BROKERS + Total - U.S. TREASURY SECURITIES (EXCLUDING TREASURY INFLATION-PROTECTED SECURITIES (TIPS)) - DEALER TRANSACTIONS WITH OTHERS","SBN2022"
"PDSIOSB-ABSTOT","Total - ASSET-BACKED SECURITIES OTHER FINANCING ACTIVITY SECURITIES BORROWED - DEALER FINANCING.","SBN2022"
"PDSOOS-ABSTOT","Total - ASSET-BACKED SECURITIES OTHER FINANCING ACTIVITY SECURITIES LENT","SBN2022"
"PDSIOSB-CDTOT","Total - CORPORATE DEBT OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES BORROWED.","SBN2022"
"PDSOOS-CDTOT","Total - CORPORATE DEBT OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES LENT","SBN2022"
"PDSIOSB-ETOT","Total - EQUITIES OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES BORROWED: OVERNIGHT AND CONTINUING.","SBN2022"
"PDSOOS-ETOT","Total - EQUITIES OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES LENT","SBN2022"
"PDSIOSB-FGEMTOT","Total - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES BORROWED:","SBN2022"
"PDSOOS-FGEMTOT","Total - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES LENT","SBN2022"
"PDSIOSB-OTOT","Total - OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES BORROWED","SBN2022"
"PDSIOSB-FGCMTOT","Total - Other Financing Activity, Securities Borrowed: Federal Agency and GSE CMBS ","SBN2022"
"PDSIOSB-FGMTOT","Total - Other Financing Activity, Securities Borrowed: Federal Agency and GSE Residential MBS","SBN2022"
"PDSOOS-FGCMTOT","Total - Other Financing Activity, Securities Lent: Federal Agency and GSE CMBS","SBN2022"
"PDSOOS-FGMTOT","Total - Other Financing Activity, Securities Lent: Federal Agency and GSE Residential MBS","SBN2022"
"PDSOOS-OTOT","Total - OTHER OTHER FINANCING ACTIVITY - DEALER FINANCING SECURITIES LENT","SBN2022"
"PDSORA-ABSTOT","Total - Repurchase Agreements: Asset-backed securities - Triparty (excluding GCF)","SBN2022"
"PDSORA-CDTOT","Total - Repurchase Agreements: Corporate Debt - Triparty (excluding GCF)","SBN2022"
"PDSORA-ETOT","Total - Repurchase Agreements: Equities - Triparty (excluding GCF)","SBN2022"
"PDSORA-FGCMTOT","Total - Repurchase Agreements: Federal Agency and GSE CMBS","SBN2022"
"PDSORA-FGMTOT","Total - Repurchase Agreements: Federal Agency and GSE Residential MBS","SBN2022"
"PDSORA-FGEMTOT","Total - Repurchase Agreements: Federal Agency and GSE Securities (excluding MBS)","SBN2022"
"PDSORA-OTOT","Total - Repurchase Agreements: Other ","SBN2022"
"PDSORA-UTSTTOT","Total - Repurchase Agreements: U.S. Treasury Inflation-Protected Securities (TIPS)","SBN2022"
