"As Of Date","Time Series","Value (millions)"
"2023-11-01","PDWOTIPSC","2667"
"2023-11-01","PDABTOTC","-190"
"2023-11-01","PDSIRRA-UTSTC","3005"
"2023-11-01","PDSIRRA-UTSTTOT","189468"
"2023-11-01","PDSOOS-ABS","*"
"2023-11-01","PDSOOS-ABSC","-3"
"2023-11-01","PDSOOS-ABSTAG30","0"
"2023-11-01","PDSOOS-ABSTAL30","0"
"2023-11-01","PDSOOS-ABSTOT","*"
"2023-11-01","PDSOOS-CD","12707"
"2023-11-01","PDSOOS-CDC","-274"
"2023-11-01","PDSOOS-CDTAG30","4525"
"2023-11-01","PDSOOS-CDTAL30","*"
"2023-11-01","PDSOOS-CDTOT","*"
"2023-11-01","PDSOOS-E","111942"
"2023-11-01","PDSOOS-EC","1146"
"2023-11-01","PDSOOS-ETAG30","21189"
"2023-11-01","PDSOOS-ETAL30","*"
"2023-11-01","PDSOOS-ETOT","*"
"2023-11-01","PDSOOS-FGCM","0"
"2023-11-01","PDSOOS-FGCMC","*"
"2023-11-01","PDSOOS-FGCMTAG30","*"
"2023-11-01","PDSOOS-FGCMTAL30","0"
"2023-11-01","PDSOOS-FGCMTOT","*"
"2023-11-01","PDSOOS-FGEM","*"
"2023-11-01","PDSOOS-FGEMC","*"
"2023-11-01","PDSOOS-FGEMTAG30","0"
"2023-11-01","PDSOOS-FGEMTAL30","0"
"2023-11-01","PDSOOS-FGEMTOT","*"
"2023-11-01","PDSOOS-FGM","25473"
"2023-11-01","PDSOOS-FGMC","346"
"2023-11-01","PDSOOS-FGMTAG30","276"
"2023-11-01","PDSOOS-FGMTAL30","0"
"2023-11-01","PDSOOS-FGMTOT","25749"
"2023-11-01","PDSOOS-O","192"
"2023-11-01","PDSOOS-OC","0"
"2023-11-01","PDSOOS-OTAG30","0"
"2023-11-01","PDSOOS-OTAL30","0"
"2023-11-01","PDSOOS-OTOT","192"
"2023-11-01","PDSOOS-UTSET","112740"
"2023-11-01","PDSOOS-UTSETC","12030"
"2023-11-01","PDSOOS-UTSETTAG30","2646"
"2023-11-01","PDSOOS-UTSETTAL30","2383"
"2023-11-01","PDSOOS-UTSETTOT","117769"
"2023-11-01","PDSOOS-UTST","7699"
"2023-11-01","PDSOOS-UTSTC","-4713"
"2023-11-01","PDSOOS-UTSTTAG30","*"
"2023-11-01","PDSOOS-UTSTTAL30","*"
"2023-11-01","PDSOOS-UTSTTOT","7917"
"2023-11-01","PDSORA-ABSC","*"
"2023-11-01","PDSORA-ABSTOT","14552"
"2023-11-01","PDSORA-CBGABS","0"
"2023-11-01","PDSORA-CBGABSTAG30","0"
"2023-11-01","PDSORA-CBGABSTAL30","0"
"2023-11-01","PDSORA-CBGCD","0"
"2023-11-01","PDSORA-CBGCDTAG30","0"
"2023-11-01","PDSORA-CBGCDTAL30","0"
"2023-11-01","PDSORA-CBGE","0"
"2023-11-01","PDSORA-CBGETAG30","0"
"2023-11-01","PDSORA-CBGETAL30","0"
"2023-11-01","PDSORA-CBGFGCM","0"
"2023-11-01","PDSORA-CBGFGCMTAG30","0"
"2023-11-01","PDSORA-CBGFGCMTAL30","0"
"2023-11-01","PDSORA-CBGFGEM","0"
"2023-11-01","PDSORA-CBGFGEMTAG30","0"
"2023-11-01","PDSORA-CBGFGEMTAL30","0"
"2023-11-01","PDSORA-CBGFGM","0"
"2023-11-01","PDSORA-CBGFGMTAG30","*"
"2023-11-01","PDSORA-CBGFGMTAL30","0"
"2023-11-01","PDSORA-CBGO","0"
"2023-11-01","PDSORA-CBGOTAG30","0"
"2023-11-01","PDSORA-CBGOTAL30","0"
"2023-11-01","PDSORA-CBGUTSET","43443"
"2023-11-01","PDSORA-CBGUTSETTAG30","23435"
"2023-11-01","PDSORA-CBGUTSETTAL30","*"
"2023-11-01","PDSORA-CBGUTST","4647"
"2023-11-01","PDSORA-CBGUTSTTAG30","0"
"2023-11-01","PDSORA-CBGUTSTTAL30","0"
"2023-11-01","PDSORA-CBSABS","0"
"2023-11-01","PDSORA-CBSABSTAG30","0"
"2023-11-01","PDSORA-CBSABSTAL30","0"
"2023-11-01","PDSORA-CBSCD","0"
"2023-11-01","PDSORA-CBSCDTAG30","0"
"2023-11-01","PDSORA-CBSCDTAL30","0"
"2023-11-01","PDSORA-CBSE","0"
"2023-11-01","PDSORA-CBSETAG30","0"
"2023-11-01","PDSORA-CBSETAL30","0"
"2023-11-01","PDSORA-CBSFGCM","0"
"2023-11-01","PDSORA-CBSFGCMTAG30","0"
"2023-11-01","PDSORA-CBSFGCMTAL30","0"
"2023-11-01","PDSORA-CBSFGEM","0"
"2023-11-01","PDSORA-CBSFGEMTAG30","0"
"2023-11-01","PDSORA-CBSFGEMTAL30","0"
"2023-11-01","PDSORA-CBSFGM","0"
"2023-11-01","PDSORA-CBSFGMTAG30","0"
"2023-11-01","PDSORA-CBSFGMTAL30","0"
"2023-11-01","PDSORA-CBSO","0"
"2023-11-01","PDSORA-CBSOTAG30","0"
"2023-11-01","PDSORA-CBSOTAL30","0"
"2023-11-01","PDSORA-CBSPABS","0"
"2023-11-01","PDSORA-CBSPABSTAG30","0"
"2023-11-01","PDSORA-CBSPABSTAL30","0"
"2023-11-01","PDSORA-CBSPCD","0"
"2023-11-01","PDSORA-CBSPCDTAG30","0"
"2023-11-01","PDSORA-CBSPCDTAL30","0"
"2023-11-01","PDSORA-CBSPE","0"
"2023-11-01","PDSORA-CBSPETAG30","0"
"2023-11-01","PDSORA-CBSPETAL30","0"
"2023-11-01","PDSORA-CBSPFGCM","0"
"2023-11-01","PDSORA-CBSPFGCMTAG30","0"
"2023-11-01","PDSORA-CBSPFGCMTAL30","0"
"2023-11-01","PDSORA-CBSPFGEM","0"
"2023-11-01","PDSORA-CBSPFGEMTAG30","0"
"2023-11-01","PDSORA-CBSPFGEMTAL30","0"
"2023-11-01","PDSORA-CBSPFGM","0"
"2023-11-01","PDSORA-CBSPFGMTAG30","0"
"2023-11-01","PDSORA-CBSPFGMTAL30","0"
"2023-11-01","PDSORA-CBSPO","0"
"2023-11-01","PDSORA-CBSPOTAG30","0"
"2023-11-01","PDSORA-CBSPOTAL30","0"
"2023-11-01","PDSORA-CBSPUTSET","24277"
"2023-11-01","PDSORA-CBSPUTSETTAG30","*"
"2023-11-01","PDSORA-CBSPUTSETTAL30","*"
"2023-11-01","PDSORA-CBSPUTST","163"
"2023-11-01","PDSORA-CBSPUTSTTAG30","*"
"2023-11-01","PDSORA-CBSPUTSTTAL30","*"
"2023-11-01","PDSORA-CBSUTSET","322063"
"2023-11-01","PDSORA-CBSUTSETTAG30","41173"
"2023-11-01","PDSORA-CBSUTSETTAL30","12596"
"2023-11-01","PDSORA-CBSUTST","19817"
"2023-11-01","PDSORA-CBSUTSTTAG30","*"
"2023-11-01","PDSORA-CBSUTSTTAL30","0"
"2023-11-01","PDSORA-CDC","-154"
"2023-11-01","PDSORA-CDTOT","88730"
"2023-11-01","PDSORA-EC","261"
